File: trkwebctrl
Build ID: eb53bae02d1c0cebf181d6aa585422bdebdd5c7b
Type: cpu
Time: Jul 11, 2023 at 12:45pm (MSK)
Duration: 250.20s, Total samples = 1114.10s (445.28%)
Showing nodes accounting for 974.50s, 87.47% of 1114.10s total
Dropped 1490 nodes (cum <= 5.57s)
      flat  flat%   sum%        cum   cum%
     0.04s 0.0036% 87.39%      5.78s  0.52%  lab.altkraft.com/altkraft/ledisdb/store.(*WriteBatch).Commit
     0.04s 0.0036% 87.40%     12.17s  1.09%  log.(*Logger).Printf
     0.04s 0.0036% 87.40%     18.25s  1.64%  marketingPlatform/ak/backendController.R.MarshalJSON
     0.04s 0.0036% 87.40%    306.10s 27.48%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidByClientFPrint
     0.04s 0.0036% 87.41%      8.78s  0.79%  net.(*conn).Write
     0.04s 0.0036% 87.41%      7.50s  0.67%  runtime.blockevent
     0.04s 0.0036% 87.41%      7.80s   0.7%  sync.runtime_SemacquireMutex
     0.03s 0.0027% 87.42%     58.20s  5.22%  github.com/gin-gonic/gin.(*Context).Render
     0.03s 0.0027% 87.42%     58.11s  5.22%  github.com/gin-gonic/gin/render.WriteJSON
     0.03s 0.0027% 87.42%    289.72s 26.00%  github.com/syndtr/goleveldb/leveldb/iterator.(*arrayIteratorIndexer).Get
     0.03s 0.0027% 87.43%    202.92s 18.21%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).HSet
     0.03s 0.0027% 87.43%      6.14s  0.55%  lab.altkraft.co    m/altkraft/ledisdb/ledis.(*DB).hExpireAt
     0.03s 0.0027% 87.43%      5.70s  0.51%  lab.altkraft.com/altkraft/ledisdb/store/goleveldb.(*WriteBatch).Commit
     0.03s 0.0027% 87.43%    298.58s 26.80%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidFromCache
     0.03s 0.0027% 87.44%      9.07s  0.81%  net/http.(*response).write
     0.03s 0.0027% 87.44%      8.80s  0.79%  net/http.checkConnErrorWriter.Write
     0.03s 0.0027% 87.44%      7.39s  0.66%  runtime.mProf_Malloc
     0.02s 0.0018% 87.44%     49.14s  4.41%  encoding/json.Marshal
     0.02s 0.0018% 87.45%    909.77s 81.66%  github.com/gin-gonic/gin.CustomRecoveryWithWriter.func1
     0.02s 0.0018% 87.45%     16.69s  1.50%  github.com/json-iterator/go.(*OptionalEncoder).Encode
     0.02s 0.0018% 87.45%     18.07s  1.62%  github.com/json-iterator/go.(*frozenConfig).Marshal
     0.02s 0.0018% 87.45%    291.52s 26.17%  github.com/syndtr/goleveldb/leveldb.(*tOps).newIterator
     0.02s 0.0018% 87.45%     11.87s  1.07%  github.com/syndtr/goleveldb/leveldb/filter.bloomHash (inline)
     0.02s 0.0018% 87.45%     50.06s  4.49%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readFilterBlockCached
     0.02s 0.0018% 87.46%    210.46s 18.89%  github.com/syndtr/goleveldb/leveldb/util.NewCRC (inline)
     0.02s 0.0018% 87.46%    294.94s 26.47%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).HGet
     0.02s 0.0018% 87.46%    197.53s 17.73%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).hSetItem
     0.02s 0.0018% 87.46%    301.95s 27.10%  lab.altkraft.com/altkraft/ledisdb/store.(*DB).RangeLimitIterator
     0.02s 0.0018% 87.46%      8.77s  0.79%  runtime.markroot.func1
     0.01s 0.0009% 87.46%      6.51s  0.58%  github.com/syndtr/goleveldb/leveldb/comparer.bytesComparer.Compare
     0.01s 0.0009% 87.47%      6.18s  0.55%  lab.altkraft.com/altkraft/ledisdb/ledis.(*DB).HExpire
     0.01s 0.0009% 87.47%      5.84s  0.52%  lab.altkraft.com/altkraft/ledisdb/ledis.(*batch).Commit
     0.01s 0.0009% 87.47%    298.03s 26.75%  lab.altkraft.com/altkraft/ledisdb/store.(*Iterator).Seek (inline)
