File: trkwebctrl
Build ID: 2a6e97ebd0584c23046de2e113885e697b606e55
Type: cpu
Time: Aug 14, 2023 at 6:06pm (MSK)
Duration: 600.11s, Total samples = 2396.06s (399.27%)
Showing nodes accounting for 1708.32s, 71.30% of 2396.06s total
Dropped 1733 nodes (cum <= 11.98s)
      flat  flat%   sum%        cum   cum%
     0.70s 0.029% 69.74%    155.57s  6.49%  net/http.checkConnErrorWriter.Write
     0.68s 0.028% 69.77%     32.53s  1.36%  net/http.(*connReader).abortPendingRead
     0.67s 0.028% 69.79%    183.86s  7.67%  github.com/json-iterator/go.(*Stream).WriteVal
     0.66s 0.028% 69.82%    119.49s  4.99%  github.com/json-iterator/go.(*dynamicEncoder).Encode
     0.65s 0.027% 69.85%    102.19s  4.26%  os.(*File).Write
     0.64s 0.027% 69.88%     64.73s  2.70%  net.(*netFD).Read
     0.62s 0.026% 69.90%     52.38s  2.19%  io.copyBuffer
     0.61s 0.025% 69.93%    143.59s  5.99%  marketingPlatform/ak/backendController.R.MarshalJSON
     0.61s 0.025% 69.95%     14.33s   0.6%  sort.pdqsort_func
     0.60s 0.025% 69.98%    194.72s  8.13%  log.(*Logger).Println
     0.60s 0.025% 70.00%     18.12s  0.76%  marketingPlatform/ak/journal.jrnLogger.SetEmbedObject
     0.59s 0.025% 70.03%    206.48s  8.62%  runtime.blockevent
     0.58s 0.024% 70.05%    159.58s  6.66%  marketingPlatform/ak/journal.jrnLogger.WriteJRNFormat
     0.57s 0.024% 70.07%   1548.14s 64.61%  github.com/gin-gonic/gin.(*Engine).ServeHTTP
     0.57s 0.024% 70.10%     64.46s  2.69%  net/http.(*Request).ParseMultipartForm
     0.57s 0.024% 70.12%     68.96s  2.88%  runtime.Caller
     0.54s 0.023% 70.14%     15.56s  0.65%  sync.runtime_Semrelease
     0.53s 0.022% 70.17%     25.68s  1.07%  bytes.(*Buffer).grow
     0.53s 0.022% 70.19%     20.15s  0.84%  runtime.funcline1
     0.52s 0.022% 70.21%    400.99s 16.74%  encoding/json.Marshal
     0.52s 0.022% 70.23%    186.71s  7.79%  sync.runtime_SemacquireMutex
     0.51s 0.021% 70.25%     16.81s   0.7%  crypto/rand.batched.func1
     0.51s 0.021% 70.27%     23.20s  0.97%  mime/multipart.(*Reader).nextPart
     0.50s 0.021% 70.30%    440.85s 18.40%  github.com/gin-gonic/gin/render.WriteJSON
     0.50s 0.021% 70.32%     23.41s  0.98%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.getServerFprint
     0.49s  0.02% 70.34%     19.31s  0.81%  github.com/allegro/bigcache/v3.(*BigCache).Get
     0.49s  0.02% 70.36%     17.74s  0.74%  github.com/leprosus/golang-ttl-map.(*Heap).Save
     0.48s  0.02% 70.38%     43.90s  1.83%  github.com/streadway/amqp.(*Channel).sendOpen
     0.48s  0.02% 70.40%     15.37s  0.64%  runtime.(*mheap).alloc
     0.47s  0.02% 70.42%     16.09s  0.67%  internal/syscall/unix.GetRandom
     0.47s  0.02% 70.44%     16.89s   0.7%  sort.Slice
     0.46s 0.019% 70.46%    442.12s 18.45%  github.com/gin-gonic/gin.(*Context).Render
     0.46s 0.019% 70.48%   1544.99s 64.48%  github.com/gin-gonic/gin.(*Engine).handleHTTPRequest
     0.46s 0.019% 70.49%     44.66s  1.86%  mime/multipart.(*Reader).readForm
     0.46s 0.019% 70.51%     17.41s  0.73%  net/http.(*response).WriteHeader
     0.45s 0.019% 70.53%    323.70s 13.51%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).getPopupEnv
     0.44s 0.018% 70.55%    377.57s 15.76%  encoding/json.marshalerEncoder
     0.44s 0.018% 70.57%     45.87s  1.91%  github.com/streadway/amqp.(*Channel).Publish
     0.44s 0.018% 70.59%     11.98s   0.5%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).corsPolicyMiddleware.func1
     0.44s 0.018% 70.61%    112.56s  4.70%  net/http.(*chunkWriter).Write
     0.44s 0.018% 70.62%     22.89s  0.96%  sync.(*Cond).Wait
     0.42s 0.018% 70.64%    153.22s  6.39%  github.com/json-iterator/go.(*onePtrEncoder).Encode
     0.41s 0.017% 70.66%    149.73s  6.25%  github.com/json-iterator/go.(*frozenConfig).Marshal
     0.39s 0.016% 70.68%    389.12s 16.24%  encoding/json.(*encodeState).reflectValue
     0.38s 0.016% 70.69%     18.70s  0.78%  runtime.gcDrainN
     0.37s 0.015% 70.71%   1300.42s 54.27%  github.com/gin-gonic/gin.CustomRecoveryWithWriter.func1
     0.37s 0.015% 70.72%     38.15s  1.59%  github.com/streadway/amqp.(*writer).WriteFrame
     0.37s 0.015% 70.74%     12.74s  0.53%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).getPopupContent
     0.37s 0.015% 70.75%     13.30s  0.56%  net/textproto.MIMEHeader.Set (inline)
     0.36s 0.015% 70.77%     16.56s  0.69%  mime/multipart.newPart
